Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
8/7/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,270,1.54
8/7/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,967,1.46
8/14/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,52,1.31
8/14/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,104",1.42
8/14/20,NATIONAL,VEGETABLES,EGGPLANT,,Y,,each,24,1.99
8/21/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,50,1.37
8/21/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,230",1.45
8/21/20,NATIONAL,VEGETABLES,EGGPLANT,,Y,,per pound,30,1.99
8/28/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,118,1.15
8/28/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,234",1.18
8/28/20,NATIONAL,VEGETABLES,EGGPLANT,,Y,,per pound,24,1.99
9/4/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,24,1.51
9/4/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,"1,055",1.58
9/11/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,27,1.3
9/11/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,882,1.11
9/18/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,11,1.77
9/18/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,387,1.34
9/25/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,42,1.14
9/25/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,112,1.13
10/2/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,8,2.5
10/2/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,383,1.38
10/9/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,6,0.69
10/9/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,119,1.08
10/16/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,5,0.99
10/16/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,242,1.47
10/23/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,49,1.17
10/23/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,241,1.23
10/30/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,125,1.36
10/30/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,448,1.15
11/6/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,11,0.68
11/6/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,409,1.33
11/13/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,191,1.69
11/13/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,715,1.23
11/20/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,53,0.93
11/20/20,NATIONAL,VEGETABLES,EGGPLANT,,,,per pound,243,1.14
11/27/20,NATIONAL,VEGETABLES,EGGPLANT,,,,each,47,0.98
